ID,Ref No , Methods,Scale,Crop,Country,Site(location),Region,latitude,longitude,Current Average Temperature (dC)_area_weighted,Current Average Temperature_point_coordinate (dC),Current Annual Precipitation (mm) _area_weighted ,Current Annual Precipitation  (mm) _point_coordinate,Future_Mid-point,Baseline_Mid-point,Time slice,Climate scenario,Scenario source,Local delta T ,Local delta T from 2005,Annual Precipitation change each study  (mm) , Annual Precipitation change  from 2005 (mm),Global delta T from pre-industrial period ,Global delta T from 2005,Projected yield (t/ha),Climate impacts (%),Climate impacts relative to 2005,Climate impacts per dC (%),Climate impacts per decade (%),CO2,CO2 ppm,Fertiliser,Irrigation,Cultivar,Soil organic matter management,Planting time,Tillage,Others,Adaptation,Adaptation type,Reference,doi,Publication year,"Note1 
(* = corrected by HW) ","Note2 
(* = Local temperature is  estimated )","Note3 
(* = Local delta Pr is  estimated )","Note4 
(* = Global temperature is  estimated )",Seasonal Precipitation change (mm) each study (local baseperiod),Base precipitation (annual) (mm) (local base period),Annual Preciptation change (%) (relative to local base),Base precipitation (seasonal) (mm) (local base period)
1,1,SCOPUS-NewSearch,Regional,Maize,Pakistan,Punjub,Asia,31.4 ,73.1 ,25.5 ,25.5 ,429 ,429 ,2054,1995,MC,RCP8.5,CMIP5,2.94 ,2.44 ,87.6 ,72.8 ,2.50 ,1.71 ,5.6 ,-19.60 ,-16.28 ,-6.67 ,-3.32 ,Yes,564.3 ,No,No,No,No,No,No,No,No,No,"Ahmad et al., 2020",10.1016/j.eja.2020.126040,2020,,,,,,,,
2,1,SCOPUS-NewSearch,Regional,Maize,Pakistan,Punjub,Asia,31.4 ,73.1 ,25.5 ,25.5 ,429 ,429 ,2054,1995,MC,RCP8.5,CMIP5,2.94 ,2.44 ,87.6 ,72.8 ,2.50 ,1.71 ,7.9 ,14.00 ,11.63 ,4.76 ,2.37 ,Yes,564.3 ,Yes,No,Yes,No,Yes,No,Yes,Yes,Combined,"Ahmad et al., 2020",10.1016/j.eja.2020.126040,2020,,,,,,,,
3,2,SCOPUS-NewSearch,Regional,Maize,United States,Wyoming,North America,43.3 ,-104.1 ,10.2 ,10.2 ,468 ,468 ,2055,1998,MC,RCP8.5,CMIP5,,2.01 ,,11.1 ,2.56 ,1.77 ,8.5 ,-22.40 ,-19.65 ,-9.76 ,-3.93 ,Yes,570.5 ,No,No,No,No,No,No,No,No,No,"Burchfield et al., 2020",10.1007/s10584-019-02567-7,2020,,*,*,,,,,
4,2,SCOPUS-NewSearch,Regional,Maize,United States,Wyoming,North America,43.3 ,-104.1 ,10.2 ,10.2 ,468 ,468 ,2055,1998,MC,RCP8.5,CMIP5,,2.01 ,,11.1 ,2.56 ,1.77 ,13.6 ,25.00 ,21.93 ,10.89 ,4.39 ,Yes,570.5 ,No,No,No,No,No,No,Yes,Yes,Others,"Burchfield et al., 2020",10.1007/s10584-019-02567-7,2020,,*,*,,,,,
5,3,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,30.0 ,110.0 ,14.7 ,14.7 ,1371 ,1371 ,2050,1983,MC,RCP4.5,CMIP5,1.15 ,0.77 ,,55.3 ,1.46 ,0.67 ,,-5.36 ,-3.60 ,-4.66 ,-0.80 ,Yes,486.5 ,No,No,No,No,No,No,No,No,No,"Chen et al., 2020",10.1016/j.agrformet.2019.107867,2020,,,*,,48.7 ,,,
6,3,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,30.0 ,110.0 ,14.7 ,14.7 ,1371 ,1371 ,2050,1983,MC,RCP8.5,CMIP5,1.31 ,0.88 ,,57.1 ,1.63 ,0.84 ,,-6.04 ,-4.06 ,-4.61 ,-0.90 ,Yes,540.5 ,No,No,No,No,No,No,No,No,No,"Chen et al., 2020",10.1016/j.agrformet.2019.107867,2020,,,*,,44.0 ,,,
7,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2025,2006,NF,RCP4.5,CMIP5,0.40 ,0.42 ,,27.6 ,1.34 ,0.55 ,6.7 ,-5.40 ,-5.68 ,-13.50 ,-2.84 ,No,378.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,10.2 ,1314 ,,
8,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2035,2006,NF,RCP4.5,CMIP5,1.20 ,1.24 ,,35.8 ,1.62 ,0.83 ,6.8 ,-3.90 ,-4.03 ,-3.25 ,-1.34 ,No,378.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,39.5 ,1314 ,,
9,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2045,2006,MC,RCP4.5,CMIP5,1.80 ,1.85 ,,47.4 ,2.04 ,1.25 ,6.8 ,-3.70 ,-3.79 ,-2.06 ,-0.95 ,No,378.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,33.7 ,1314 ,,
10,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2025,2006,NF,RCP4.5,CMIP5,0.40 ,0.42 ,,27.6 ,1.34 ,0.55 ,6.9 ,-2.50 ,-2.63 ,-6.25 ,-1.32 ,Yes,447.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,10.2 ,1314 ,,
11,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2035,2006,NF,RCP4.5,CMIP5,1.20 ,1.24 ,,35.8 ,1.62 ,0.83 ,7.0 ,-0.90 ,-0.93 ,-0.75 ,-0.31 ,Yes,447.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,39.5 ,1314 ,,
12,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2045,2006,MC,RCP4.5,CMIP5,1.80 ,1.85 ,,47.4 ,2.04 ,1.25 ,7.0 ,-0.60 ,-0.62 ,-0.33 ,-0.15 ,Yes,473.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,33.7 ,1314 ,,
13,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,4.1 ,-27.11 ,-25.91 ,-9.04 ,-3.99 ,Yes,524.3 ,No,No,No,No,No,No,No,No,No,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
14,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,4.6 ,-16.69 ,-15.96 ,-5.56 ,-2.46 ,Yes,524.3 ,No,No,No,No,Yes,No,No,Yes,Planting date,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
15,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,7.5 ,33.88 ,32.39 ,11.29 ,4.98 ,Yes,524.3 ,No,No,Yes,No,Yes,No,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
16,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,4.3 ,-22.20 ,-21.23 ,-7.40 ,-3.27 ,Yes,524.3 ,No,No,No,No,No,Yes,No,Yes,Tillage,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
17,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,4.6 ,-16.84 ,-16.10 ,-5.61 ,-2.48 ,Yes,524.3 ,No,No,No,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
18,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,7.1 ,27.42 ,26.21 ,9.14 ,4.03 ,Yes,524.3 ,No,No,Yes,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
19,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,4.2 ,-25.62 ,-24.75 ,-6.41 ,-2.91 ,Yes,635.6 ,No,No,No,No,No,No,No,No,No,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
20,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,4.3 ,-22.65 ,-21.87 ,-5.66 ,-2.57 ,Yes,635.6 ,No,No,No,No,Yes,No,No,Yes,Planting date,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
21,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,7.1 ,27.93 ,26.98 ,6.98 ,3.17 ,Yes,635.6 ,No,No,Yes,No,Yes,No,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
22,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,4.6 ,-16.84 ,-16.27 ,-4.21 ,-1.91 ,Yes,635.6 ,No,No,No,No,No,Yes,No,Yes,Tillage,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
23,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,4.8 ,-14.16 ,-13.67 ,-3.54 ,-1.61 ,Yes,635.6 ,No,No,No,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
24,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,7.0 ,26.08 ,25.19 ,6.52 ,2.96 ,Yes,635.6 ,No,No,Yes,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
25,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,3.8 ,-32.08 ,-30.66 ,-10.69 ,-4.72 ,Yes,524.3 ,No,No,No,No,No,No,No,No,No,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
26,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,3.4 ,-38.25 ,-36.56 ,-12.75 ,-5.63 ,Yes,524.3 ,No,No,No,No,Yes,No,No,Yes,Planting date,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
27,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,7.5 ,34.31 ,32.79 ,11.44 ,5.04 ,Yes,524.3 ,No,No,Yes,No,Yes,No,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
28,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,3.9 ,-30.40 ,-29.06 ,-10.13 ,-4.47 ,Yes,524.3 ,No,No,No,No,No,Yes,No,Yes,Tillage,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
29,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,4.0 ,-27.62 ,-26.40 ,-9.21 ,-4.06 ,Yes,524.3 ,No,No,No,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
30,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,7.3 ,30.84 ,29.48 ,10.28 ,4.53 ,Yes,524.3 ,No,No,Yes,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
31,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,3.9 ,-30.53 ,-29.49 ,-7.63 ,-3.47 ,Yes,635.6 ,No,No,No,No,No,No,No,No,No,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
32,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,3.9 ,-30.53 ,-29.49 ,-7.63 ,-3.47 ,Yes,635.6 ,No,No,No,No,Yes,No,No,Yes,Planting date,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
33,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,7.5 ,34.31 ,33.14 ,8.58 ,3.90 ,Yes,635.6 ,No,No,Yes,No,Yes,No,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
34,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,4.3 ,-23.45 ,-22.65 ,-5.86 ,-2.66 ,Yes,635.6 ,No,No,No,No,No,Yes,No,Yes,Tillage,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
35,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,4.4 ,-20.66 ,-19.96 ,-5.17 ,-2.35 ,Yes,635.6 ,No,No,No,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
36,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,7.5 ,33.62 ,32.48 ,8.41 ,3.82 ,Yes,635.6 ,No,No,Yes,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
37,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,3.3 ,-40.91 ,-39.10 ,-13.64 ,-6.02 ,Yes,524.3 ,No,No,No,No,No,No,No,No,No,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
38,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,4.0 ,-28.79 ,-27.52 ,-9.60 ,-4.23 ,Yes,524.3 ,No,No,No,No,Yes,No,No,Yes,Planting date,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
39,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,7.4 ,33.33 ,31.86 ,11.11 ,4.90 ,Yes,524.3 ,No,No,Yes,No,Yes,No,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
40,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,3.7 ,-33.06 ,-31.60 ,-11.02 ,-4.86 ,Yes,524.3 ,No,No,No,No,No,Yes,No,Yes,Tillage,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
41,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,4.0 ,-28.96 ,-27.68 ,-9.65 ,-4.26 ,Yes,524.3 ,No,No,No,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
42,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2070,2002,EC,RCP4.5,CMIP5,3.00 ,2.87 ,91.5 ,87.5 ,3.00 ,2.21 ,7.2 ,29.78 ,28.47 ,9.93 ,4.38 ,Yes,524.3 ,No,No,Yes,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
43,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,3.4 ,-39.39 ,-38.05 ,-9.85 ,-4.48 ,Yes,635.6 ,No,No,No,No,No,No,No,No,No,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
44,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,4.1 ,-25.76 ,-24.88 ,-6.44 ,-2.93 ,Yes,635.6 ,No,No,No,No,Yes,No,No,Yes,Planting date,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
45,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,6.8 ,21.21 ,20.49 ,5.30 ,2.41 ,Yes,635.6 ,No,No,Yes,No,Yes,No,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
46,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,3.8 ,-31.69 ,-30.61 ,-7.92 ,-3.60 ,Yes,635.6 ,No,No,No,No,No,Yes,No,Yes,Tillage,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
47,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,4.6 ,-18.03 ,-17.42 ,-4.51 ,-2.05 ,Yes,635.6 ,No,No,No,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
48,5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4 ,-85.4 ,10.5 ,10.5 ,1053 ,1053 ,2090,2002,EC,RCP6.0,CMIP5,4.00 ,3.86 ,137.3 ,132.6 ,4.00 ,3.21 ,6.7 ,20.22 ,19.53 ,5.05 ,2.30 ,Yes,635.6 ,No,No,Yes,No,Yes,Yes,No,Yes,Combined,"Liu et al., 2020",10.1371/journal.pone.0225433,2020,,,,,,915 ,,
49,6,SCOPUS-NewSearch,Regional,Maize,Iran,Qazvin,Asia,36.3 ,50.0 ,13.3 ,13.3 ,298 ,298 ,2028,2000,NF,RCP2.6,CMIP5,,1.09 ,-54.1 ,-44.4 ,1.58 ,0.79 ,9.7 ,-3.20 ,-2.63 ,-2.42 ,-1.14 ,Yes,427.8 ,No,No,No,No,No,No,No,No,No,"Mirgol et al., 2020",10.3390/agriculture10030060,2020,,*,,,,301 ,,
50,6,SCOPUS-NewSearch,Regional,Maize,Iran,Qazvin,Asia,36.3 ,50.0 ,13.3 ,13.3 ,298 ,298 ,2053,2000,MC,RCP2.6,CMIP5,,1.47 ,-33.7 ,-30.5 ,1.99 ,1.20 ,9.9 ,-1.47 ,-1.33 ,-0.91 ,-0.28 ,Yes,442.7 ,No,No,No,No,No,No,No,No,No,"Mirgol et al., 2020",10.3390/agriculture10030060,2020,,*,,,,301 ,,
51,6,SCOPUS-NewSearch,Regional,Maize,Iran,Qazvin,Asia,36.3 ,50.0 ,13.3 ,13.3 ,298 ,298 ,2078,2000,EC,RCP2.6,CMIP5,,1.45 ,-27.9 ,-26.1 ,1.98 ,1.19 ,10.2 ,1.99 ,1.86 ,1.28 ,0.26 ,Yes,432.8 ,No,No,No,No,No,No,No,No,No,"Mirgol et al., 2020",10.3390/agriculture10030060,2020,,*,,,,301 ,,
52,6,SCOPUS-NewSearch,Regional,Maize,Iran,Qazvin,Asia,36.3 ,50.0 ,13.3 ,13.3 ,298 ,298 ,2028,2000,NF,RCP8.5,CMIP5,,1.39 ,-31.7 ,-26.0 ,1.73 ,0.94 ,10.0 ,0.18 ,0.15 ,0.11 ,0.06 ,Yes,441.7 ,No,No,No,No,No,No,No,No,No,"Mirgol et al., 2020",10.3390/agriculture10030060,2020,,*,,,,301 ,,
53,6,SCOPUS-NewSearch,Regional,Maize,Iran,Qazvin,Asia,36.3 ,50.0 ,13.3 ,13.3 ,298 ,298 ,2053,2000,MC,RCP8.5,CMIP5,,1.95 ,-27.6 ,-25.0 ,2.89 ,2.10 ,9.7 ,-3.22 ,-2.92 ,-1.50 ,-0.61 ,Yes,558.2 ,No,No,No,No,No,No,No,No,No,"Mirgol et al., 2020",10.3390/agriculture10030060,2020,,*,,,,301 ,,
54,6,SCOPUS-NewSearch,Regional,Maize,Iran,Qazvin,Asia,36.3 ,50.0 ,13.3 ,13.3 ,298 ,298 ,2078,2000,EC,RCP8.5,CMIP5,,4.25 ,-8.3 ,-7.8 ,4.27 ,3.48 ,9.3 ,-6.70 ,-6.27 ,-1.47 ,-0.86 ,Yes,741.5 ,No,No,No,No,No,No,No,No,No,"Mirgol et al., 2020",10.3390/agriculture10030060,2020,,*,,,,301 ,,
55,7,SCOPUS-NewSearch,Regional,Maize,China,Inner Mongolia,Asia,50.0 ,125.0 ,0.4 ,0.4 ,493 ,493 ,2050,2015,MC,RCP4.5,CMIP5,,1.67 ,,29.3 ,2.08 ,1.29 ,9.1 ,34.31 ,44.11 ,26.49 ,9.80 ,Yes,486.5 ,No,No,No,No,No,No,No,No,No,"Pu et al., 2020",10.1007/s00704-019-03081-7,2020,,*,*,,,,,
56,7,SCOPUS-NewSearch,Regional,Maize,China,Inner Mongolia,Asia,50.0 ,125.0 ,0.4 ,0.4 ,493 ,493 ,2050,2015,MC,RCP6.0,CMIP5,,1.28 ,,26.3 ,1.92 ,1.13 ,8.5 ,25.65 ,32.98 ,25.74 ,7.33 ,Yes,477.7 ,No,No,No,No,No,No,No,No,No,"Pu et al., 2020",10.1007/s00704-019-03081-7,2020,,*,*,,,,,
57,8,SCOPUS-NewSearch,Regional,Maize,China,Gansu,Asia,35.7 ,107.7 ,11.1 ,11.1 ,567 ,567 ,2055,1995,MC,RCP4.5,CMIP5,1.47 ,1.23 ,-7.0 ,-5.8 ,1.82 ,1.03 ,,-6.70 ,-5.58 ,-4.56 ,-1.12 ,No,378.8 ,No,No,No,No,No,No,No,No,No,"Yang et al., 2020",10.1016/j.agwat.2019.105959,2020,,,,,,546 ,,
